,close,volume
2020-11-18,4891.67,16421661600.0
2020-11-19,4927.99,13368137800.0
2020-11-20,4943.29,12940034100.0
2020-11-23,5005.03,20591518700.0
2020-11-24,4974.29,15663791100.0
2020-11-25,4910.7,17034052700.0
2020-11-26,4919.59,13720233800.0
2020-11-27,4980.77,16295292200.0
2020-11-30,4960.25,26263895000.0
2020-12-01,5067.1,20406563800.0
2020-12-02,5067.14,19543547600.0
2020-12-03,5057.06,17786574800.0
2020-12-04,5065.92,14434716700.0
2020-12-07,5022.24,13989621700.0
2020-12-08,5009.88,12307302900.0
2020-12-09,4942.7,13891696500.0
2020-12-10,4940.52,12591427000.0
2020-12-11,4889.63,15935769700.0
2020-12-14,4934.84,12080155200.0
2020-12-15,4945.1,11834263300.0
2020-12-16,4953.87,10677896800.0
2020-12-17,5017.48,13338547900.0
2020-12-18,4999.97,12804961800.0
2020-12-21,5046.84,14081178200.0
2020-12-22,4964.77,16234497000.0
2020-12-23,5007.12,14029281900.0
2020-12-24,5000.02,11441866700.0
2020-12-25,5042.01,12100697900.0
2020-12-28,5064.41,13691440700.0
2020-12-29,5042.94,14119866200.0
2020-12-30,5113.71,14862644800.0
2020-12-31,5211.29,17160250900.0
2021-01-04,5267.72,21171138200.0
2021-01-05,5368.5,22493115900.0
2021-01-06,5417.67,19377344400.0
2021-01-07,5513.66,21987208000.0
2021-01-08,5495.43,20432495600.0
2021-01-11,5441.16,23183598300.0
2021-01-12,5596.35,22422018600.0
2021-01-13,5577.97,26156988600.0
2021-01-14,5470.46,24368338000.0
2021-01-15,5458.08,23863743500.0
2021-01-18,5518.52,20705186900.0
2021-01-19,5437.52,21104342500.0
2021-01-20,5476.43,17091326000.0
2021-01-21,5564.97,20995019700.0
2021-01-22,5569.78,19930002000.0
2021-01-25,5625.92,19704701900.0
2021-01-26,5512.97,17190459000.0
2021-01-27,5528.0,16019084100.0
2021-01-28,5377.14,17048558500.0
2021-01-29,5351.96,18217878400.0
2021-02-01,5417.65,16631370600.0
2021-02-02,5501.09,16521056500.0
2021-02-03,5485.2,18805431700.0
2021-02-04,5473.95,18057565400.0
2021-02-05,5483.41,18969959800.0
2021-02-08,5564.56,16403377500.0
2021-02-09,5686.25,16488726000.0
2021-02-10,5807.72,17016978600.0
2021-02-18,5768.38,21884868600.0
2021-02-19,5778.84,21447578000.0
2021-02-22,5597.33,28212438200.0
2021-02-23,5579.67,23380772700.0
2021-02-24,5437.57,22542861000.0
2021-02-25,5469.56,23073602800.0
2021-02-26,5336.76,21226454300.0
2021-03-01,5418.78,17746352300.0
2021-03-02,5349.63,19651111500.0
2021-03-03,5452.21,19470905400.0
2021-03-04,5280.71,21277521100.0
2021-03-05,5262.8,20262795600.0
2021-03-08,5080.02,23023163500.0
2021-03-09,4971.0,23071100400.0
2021-03-10,5003.61,16992849000.0
2021-03-11,5128.22,18960076600.0
2021-03-12,5146.38,20102058900.0
2021-03-15,5035.54,20415308400.0
2021-03-16,5079.36,16139005400.0
2021-03-17,5100.86,14916237600.0
2021-03-18,5141.77,14290151800.0
2021-03-19,5007.09,16417484900.0
2021-03-22,5057.15,16740263200.0
2021-03-23,5009.25,15801396700.0
